"COUNTRY","DELIVERY_SITE_ID","DELIVERY_SITE_NAME","DELIVERY_SITE_STATUS","ESTIMATED_TIME_TO_DELIVERY_SITE","HEALTH_FACILITY_COUNTRY","HEALTH_FACILITY_GROUP","HEALTH_FACILITY_ID","HEALTH_FACILITY_KEY","HEALTH_FACILITY_LOCALITY","HEALTH_FACILITY_NAME","HEALTH_FACILITY_REGION","HEALTH_FACILITY_STATUS","IS_DIRECT_DELIVERY_SITE","NEST_ID","NEST_NAME"
"GH",1550,"Biu CHPS","ready_for_operations",2377,"Ghana","",386,"cf8e80ef9e7882aee94efa9534d9504e","Kassena Nankana East","Biu CHPS","Upper East","Operationalized","true",8,"GH3 Vobsi"
"GH",277,"GH1_WFH","ready_for_operations",212,"","",840,"9524268ac72fea6902f314303cefafa1",,"Zipline Krachi","","Suspended partially","false",5,"GH1 Omenako"
"GH",3242,"Yagaba HC","ready_for_operations",2024,"Ghana","",431,"aa473d2e823be77b24d2384e4d15ce45","Mamprugu Moagduri","Yagaba GES","North East","Operationalized","false",8,"GH3 Vobsi"
"GH",91,"Vra Akosombo HSP","inactive",2582,"Ghana","",728,"64e0877f3b73095b4388a8fba22baf20","Asuogyaman","Asuogyaman","Eastern","Obsolete","false",5,"GH1 Omenako"
"GH",3895,"GH3_WFH","ready_for_operations",168,"Ghana","",274,"1426010002162a7327560f6a4dcb3ed8",,"GH3 VOBSI TEST","North East Region","Obsolete","true",8,"GH3 Vobsi"
"GH",8025,"Kpetoe HC","ready_for_operations",2369,"Ghana","",466,"db3e255de4322ab45c3cdcffec06baf3","Agortime Ziope","Agebsia CHPS","Volta","Created","false",11,"GH5 Anum"
"GH",114,"Eastern Regional HSP","ready_for_operations",937,"Ghana","",878,"0dbbbd3e6eefe4c590e9a0db55c6df28","New Juaben South","Old Estate CHPS","Eastern","Suspended entirely","false",5,"GH1 Omenako"
"GH",738,"Densuano HC","ready_for_operations",767,"","",628,"57fe82df8d112035fc4211dd460b7dc5","New Juaben South","New Juabeng South","","Obsolete","false",5,"GH1 Omenako"
"GH",3859,"Senya Breku HC","ready_for_operations",2875,"","",888,"4b462ed7f8b290f82d2bc3c8cf1667bc","Awutu Senya West","Obodem/Obaakwei CHPS","Central Region","Operationalized","false",5,"GH1 Omenako"
"GH",4658,"Nkwaeso HC","ready_for_operations",2906,"Ghana","",389,"708b4c7023f17466c467ffddd559d691","Asante Mampong","Addvet Solution","Ashanti","Operationalized","false",7,"GH2 Mpanya"
"GH",12,"begoro HSP","ready_for_operations",1872,"Ghana","",760,"ec7906a6c8eeafd3c07a699c20913840","Fanteakwa North","Fanteakwa North","Eastern","Obsolete","false",5,"GH1 Omenako"
"GH",3192,"Wassa Akropong Govt HSP","ready_for_operations",2559,"Ghana","ART TEST FACILITIES, District Hospital, Family Planning Facilities",381,"f6ca7d0611ebe436f5cbf4455c85b559","Wassa Amenfi East","Wassa Akropong Govt HSP","Western","Operationalized","true",9,"GH4 Sefwi Wiawso"
"GH",2061,"Juaboso Government HSP","ready_for_operations",1646,"Ghana","ART TEST FACILITIES, District Hospital, Family Planning Facilities, Juaboso Facilities",6,"c0eebbcaf4aba9b53e9f36ae8e00e649","Juaboso","Government (Juaboso) HSP","Western North","Operationalized","true",9,"GH4 Sefwi Wiawso"
"GH",1529,"Bibiani District HSP","ready_for_operations",1493,"Ghana","ART TEST FACILITIES, Bibiani Anhwiaso Bekwai Facilities, District Hospital, Family Planning Facilities",143,"d5bdef73501446d8a8e13ad28c3379bd","Bibiani Anhwiaso Bekwai","Bibiani District HSP","‎Western North","Operationalized","true",9,"GH4 Sefwi Wiawso"
"GH",1112,"Akyem Amanfrom CHPS","ready_for_operations",437,"Ghana","AS/AR HC/CHPS, CHPS with midwife, Eastern",523,"532fa6733aec7cf5865bad2aebca6529","Abuakwa South","Akyem Amanfrom CHPS","Eastern","Operationalized","true",5,"GH1 Omenako"
"GH",149,"Nkwatia HC","ready_for_operations",2869,"","AS/AR HC/CHPS, Approved Family Planning Sites, Eastern, Health Center in Good Standing, Health Center with PA",81,"f3429c86b97fe0ecc6c8cfebacae8139","Kwahu East","Nkwatia HC","Eastern","Operationalized","true",5,"GH1 Omenako"
"GH",3828,"Agogo Presby HSP","ready_for_operations",2571,"Ghana","Accredited by CZBC-KATH, Americare(WHW) B, Ashanti Region (Vaccines), Ashanti Region Facilities, DHIMMS, District Hospital",172,"22821bc59f3eca8114887a8e86472313","Asante Akim North","Agogo Presby HSP","Ashanti","Operationalized","true",7,"GH2 Mpanya"
"GH",2156,"Kokofu General HSP","ready_for_operations",2670,"Ghana","Accredited by CZBC-KATH, Ashanti Region (Vaccines), Ashanti Region Facilities, District Hospital",18,"289e8555f2f350bbc03698ea0f0f2248","Bekwai Municipal","Kokofu General HSP","Ashanti","Suspended partially","true",7,"GH2 Mpanya"
"GH",28,"New Abirem Hsp","ready_for_operations",3020,"Ghana","Accredited by NBS",744,"018669305b54f31411232f0183d69af4","Birim North","I & I Hospital","Eastern","Suspended entirely","false",5,"GH1 Omenako"
"GH",100,"Adjena HC","ready_for_operations",767,"Ghana","Adjena HC, Asuogyaman DHD, Eastern Region, HC Without a Doctor",352,"817c727f152690a5439d602c6bc9b3cb","Asuogyaman","Adjena HC","Eastern","Suspended partially","true",11,"GH5 Anum"
"GH",1230,"Anyinasuso Sda HC","ready_for_operations",1248,"Ghana","Adventist Health Facilities, Ashanti Region (Vaccines), Ashanti Region Facilities, Health Center With Dr",156,"35e2838d6059c38a63614f3c1b118d41","Offinso Municipal","Anyinasuso SDA HC","Ashanti","Operationalized","true",7,"GH2 Mpanya"
"GH",2173,"Konkoma SDA HC","ready_for_operations",2377,"Ghana","Adventist Health Facilities, Ashanti Region (Vaccines), Ashanti Region Facilities, Health Center With Dr",136,"2ae2b8a7f2b13295a1206b0e97018f23","Bosomtwe","Konkoma SDA HC","Ashanti","Operationalized","true",7,"GH2 Mpanya"
"GH",8022,"Hove Lormnava HC","ready_for_operations",2636,"Ghana","Afadzato South DHD, CHPS With a Midwife, Volta Region",357,"197d350091a477c96d46dcfbbff1c063","Afadzato South","Hove Lormnava CHPS","Volta","Operationalized","true",11,"GH5 Anum"
"GH",794,"Ekye Central CHPS","inactive",3153,"Ghana","Afram Plains South, Eastern",603,"8f62cc463ab49ed90b416de5969dd8b5","Kwahu Afram Plains South","Kwahu Afram Plains South","Eastern","Obsolete","false",5,"GH1 Omenako"
"GH",4104,"Kwekudua CHPS","ready_for_operations",2488,"Ghana","Ahafo Facilities, CHPS without a midwife",251,"248adf4756acda45851b44fb4533764b","Asunafo North","Kwakudua CHPS","Ahafo","Operationalized","true",9,"GH4 Sefwi Wiawso"
"GH",4321,"Nkaseim HC","ready_for_operations",2961,"Ghana","Ahafo Facilities, Clinic/Health Centre with a Doctor/ Physician Assistant",283,"f4faf67d9daf869d9737c3fa8944f493","Asutifi South","Nkaseim HC","Ahafo","Operationalized","true",9,"GH4 Sefwi Wiawso"
"GH",4000,"Kokooso CHPS","ready_for_operations",1068,"Ghana","Ahafo Facilities, CHPS with a Midwife",349,"718da2ea4357728399e70dadd877fd1d","Asunafo South","Kokooso CHPS","Ahafo","Operationalized","true",9,"GH4 Sefwi Wiawso"
"GH",5602,"Adeheta CHPS","ready_for_operations",2684,"Ghana","Akatsi South, CHPS With a Midwife, RTSS Ordering Facilities, Volta Region",305,"0b85a81c8eb8256e2062c509e71d2bea","Akatsi South","Atsiekpui CHPS","Volta","Operationalized","false",11,"GH5 Anum"
"GH",5621,"Gui CHPS","ready_for_operations",3154,"Ghana","Akatsi South, CHPS Without a Midwife, RTSS Ordering Facilities, Volta Region",57,"1edf9555d1c94aa2087ccd054cac1465","Akatsi South","Gui CHPS","Volta","Operationalized","true",11,"GH5 Anum"
"GH",3578,"Tano Odumase Ebeyeyie CHPS","ready_for_operations",1038,"Ghana","Americare(WHW) B, Ashanti Region (Vaccines), Ashanti Region Facilities, CHPS with midwife, Sekyere South DHA",222,"c4cad227a3034e095804fa664c585801","Sekyere South","Ebeye Yie CHPS","Ashanti","Operationalized","true",7,"GH2 Mpanya"
"GH",2452,"Mpobi HC","ready_for_operations",1112,"Ghana","Americare(WHW) B, Ashanti Region (Vaccines), Ashanti Region Facilities, CHPS with midwife, DHIMMS",263,"eb9b1ed2491c84bcdb637346a89a69b3","Afigya Kwabre South","Mpobi HC","Ashanti","Operationalized","true",7,"GH2 Mpanya"
"GH",2167,"Komeso HC","ready_for_operations",3145,"Ghana","Americare(WHW) B, Ashanti Region (Vaccines), Ashanti Region Facilities, Health Center without Dr",17,"6a240d49ad275555c52788c774f16ef1","Asante Akim South","Komeso HC","Ashanti","Operationalized","true",7,"GH2 Mpanya"
"GH",2312,"Kyenkyenkura CHPS ","ready_for_operations",1627,"Ghana","Americare(WHW) B, Ashanti Region (Vaccines), Ashanti Region Facilities, CHPS with midwife, DHIMMS, Ejura Sekyedumase",203,"f638768a28c2827351297fcf47877555","Ejura Sekyedumase","Kyenkyenkura CHPS","Ashanti","Operationalized","true",7,"GH2 Mpanya"
"GH",1363,"Asubuasu HC","ready_for_operations",1297,"Ghana","Americare(WHW) B, Ashanti Region (Vaccines), Ashanti Region Facilities, DHIMMS, Health Center without Dr, Sekyere Central District",28,"8df160a9f008aacbc881c13e13c4e5cf","Sekyere Central","Asubuasu HC","Ashanti","Operationalized","true",7,"GH2 Mpanya"
"GH",4156,"Anwiafutu (Aowin) CHPS","ready_for_operations",2137,"Ghana","Aowin Facilities, CHPS without a midwife, Family Planning Facilities",100,"76055fde4b11c95c51322e714cf7e9a5","Aowin","Anwiafutu CHPS","Western North","Operationalized","true",9,"GH4 Sefwi Wiawso"
"GH",3683,"Akanteng CHPS","ready_for_operations",1686,"","Approved Family Planning Sites, Eastern, Health Center in Good Standing, Health Center with PA",420,"ad5971609b01743ad91a16f02f106c5e","West Akim","Akanteng Health Center","Eastern","Suspended partially","true",5,"GH1 Omenako"
"GH",3608,"Bunuso CHPS","ready_for_operations",836,"Ghana","Ashanti Region (Vaccines), Ashanti Region Facilities, Health Center without Dr, Mampong DHA",308,"01a1a709ccca09e3479001c9f284f5c1","Asante Mampong","Bunoso HC","Ashanti","Operationalized","true",7,"GH2 Mpanya"
"GH",2287,"Kwanwoma HC","ready_for_operations",3176,"Ghana","Ashanti Region (Vaccines), Ashanti Region Facilities, DHIMMS, Health Center without Dr",278,"2f80c717688d0b2b4f3033addd1a847b","Atwima Kwanwoma","Kwanwoma HC","Ashanti","Operationalized","true",7,"GH2 Mpanya"
"GH",834,"Biemso RCH","ready_for_operations",1952,"Ghana","Ashanti Region (Vaccines), Ashanti Region Facilities",53,"c6f67aa9eb22dc1a64f430a3d8e5fbef","Ahafo Ano South East","Biemso RCH","Ashanti","Suspended partially","true",7,"GH2 Mpanya"
"GH",2457,"Mprim CHPS","ready_for_operations",278,"Ghana","Ashanti Region (Vaccines), Ashanti Region Facilities, CHPS with midwife, Mampong DHA",200,"27d97da0dd67d3357301435688d0d5eb","Asante Mampong","Mprim CHPS","Ashanti","Operationalized","true",7,"GH2 Mpanya"
"GH",1288,"Asakrakra CHPS","ready_for_operations",2012,"Ghana","Ashanti Region (Vaccines), Ashanti Region Facilities, Health Center without Dr",74,"209eda0dae1792bf554d221ae8338f51","Atwima Nwabiagya Municipal","Asakrakra CHPS","Ashanti","Suspended partially","true",7,"GH2 Mpanya"
"GH",2411,"Kwasu CHPS","ready_for_operations",2600,"Ghana","Ashanti Region Facilities, Bono East, Ahafo Region Facilities, CHPS with midwife, [Deprecated]",224,"b01549d0bd10f2b491c232d25b068a32","Tano South","Kwasu CHPS","Bono region","Operationalized","true",7,"GH2 Mpanya"
"GH",91,"Vra Akosombo HSP","ready_for_operations",1413,"Ghana","Asuogyaman DHD, Blood Transfusion Facilities, District Hospital, Eastern Region",344,"7dd1356a2ead05447c3d09c01205b93f","Asuogyaman","Vra Akosombo HSP","Eastern","Operationalized","true",11,"GH5 Anum"
"GH",9587,"Googo CL","ready_for_operations",3250,"Ghana","Bawku West, Health Center without a Doctor, Upper East",402,"4cc082695dcd6a880426d1fce448f890","Bawku West","Googo HC","Upper East","Operationalized","true",8,"GH3 Vobsi"
"GH",9591,"Salpiiga CHPS","ready_for_operations",3408,"Ghana","Bawku West, CHPS without a Midwife, Upper East",426,"e753940a7a8f40fc49fb2b84da4f7263","Bawku West","Salpiiga CHPS","Upper East","Operationalized","true",8,"GH3 Vobsi"
"GH",4336,"Abosi CHPS ","ready_for_operations",3395,"Ghana","Bia West Facilities, CHPS without a midwife, Family Planning Facilities",390,"d18a5645e28add43754d8763f846fe29","Bia West","Abosi CHPS","Western North","Operationalized","true",9,"GH4 Sefwi Wiawso"
"GH",4894,"Tapa Amanfrom CHPS","ready_for_operations",2450,"Ghana","Biakoye, Oti, Oti CHPS without Midwife",19,"257935e8f84fa8d2c997199c486420df","Biakoye","Tapa Amanfrom CHPS","Oti","Operationalized","true",12,"GH6 Krachi"
"GH",4240,"Kaseisa CHPS","ready_for_operations",2091,"Ghana","Builsa South, CHPS without a Midwife, Upper East",237,"7f5068749982965026e61d41665fcc1e","Builsa South","Kaseisa CHPS","Upper East","Operationalized","true",8,"GH3 Vobsi"
"GH",8042,"Dome CHPS","inactive",4487,"Ghana","CHPS Without a Midwife, Eastern Region",418,"683b3f4b03d9e0a203a23682ab1cf89e","Kwahu Afram Plains South","Dome CHPS","Eastern","Operationalized","true",11,"GH5 Anum"
"GH",5526,"Mafi Dove","ready_for_operations",2159,"Ghana","CHPS Without a Midwife, Central Tongu, Volta Region",321,"3ddcc03d1ada11ba98d6f8a19f148409","Central Tongu","Old Bakpa CHPS","Volta","Operationalized","false",11,"GH5 Anum"
"GH",2486,"Namburugu CHPS","ready_for_operations",1860,"Ghana","CHPS with a Midwife, Karaga, VSD Karaga District",290,"d6de83701084b8e7278eedc5caeb5921","Karaga","Namburugu CHPS","Northern","Operationalized","true",8,"GH3 Vobsi"
"GH",1387,"Atiyorem CHPS","ready_for_operations",2266,"Ghana","CHPS with a Midwife, Kassena Nankana West",150,"d971a56fd79e9ce3eeb53efd7b5314c1","Kassena Nankana West","Atiyorem CHPS","Upper East","Operationalized","true",8,"GH3 Vobsi"
"GH",5654,"Gomoa Nkoranza CHPS ","ready_for_operations",3155,"","CHPS with midwife, CHPS without midwife, Central",814,"f8f54c9f891d906647c8c8eee3b2a05e","Gomoa West","Gomoa Nkoranza CHPS (CR)","Central","Operationalized","true",5,"GH1 Omenako"
"GH",3854,"Bonsuoku CHPS","ready_for_operations",2693,"Ghana","CHPS with midwife, Central",583,"32003d97692901a6a5adc557281726d0","Awutu Senya West","Bonsuoku CHPS-CR","Central","Operationalized","true",5,"GH1 Omenako"
"GH",4022,"Kongo Doborin CHPS","ready_for_operations",2111,"Ghana","CHPS without a Midwife, Nabdam, Upper East",292,"8ce660bad4736c517433bd09100caf5c","Nabdam","Kongo-Doborin CHPS","Upper East","Operationalized","true",8,"GH3 Vobsi"
"GH",2568,"Nkum HC","ready_for_operations",2417,"","Central",548,"0e9d8bb3277dc73ae37e42e0922a824a","Agona West","Nkum HC (CR)","Central","Operationalized","true",5,"GH1 Omenako"
"GH",4379,"El-Shiva CL","ready_for_operations",3021,"Ghana","Clinic/Health Centre with a Doctor/ Physician Assistant, Family Planning Facilities",374,"4087c7ea3875a1ab5fd257557a950617","Wassa Amenfi East","El-Shiva CL","Western","Operationalized","true",9,"GH4 Sefwi Wiawso"
"GH",240,"Onomabo CHPS","ready_for_operations",1572,"Ghana","ASENE MANSO AKROSO DISTRICT, CHPS without midwife, Eastern",259,"7839a36536db5b75161be4c93a43b46e","Asene Manso Akroso","Onomabo CHPS-AMA","Eastern","Operationalized","true",5,"GH1 Omenako"
"GH",4808,"Abutia-Agorve HC","ready_for_operations",1120,"Ghana","Abutia Agorve HC, HC Without a Doctor, Ho West Facilities, RTSS Ordering Facilities, Volta Region",134,"68a2b95f883e290bbc1104f757de68d4","Ho West","Abutia-Agorve HC","Volta","Operationalized","true",11,"GH5 Anum"
"GH",3609,"Aduman CHPS","ready_for_operations",1417,"Ghana","Americare(WHW) B, Ashanti Region (Vaccines), Ashanti Region Facilities, CHPS with midwife, DHIMMS",258,"d5edc8ef82e46073575212b2db76b0ab","Afigya Kwabre South","Aduman CHPS","Ashanti","Operationalized","true",7,"GH2 Mpanya"
"GH",1357,"Amantena CHPS","ready_for_operations",1796,"Ghana","Ashanti Region (Vaccines), Ashanti Region Facilities, CHPS without midwife",71,"9e07ec41ff1d5813080171cf5f2fca58","Asante Akim North","Amantena CHPS","Ashanti","Operationalized","true",7,"GH2 Mpanya"
"GH",4487,"Ampemanim CHPS","ready_for_operations",2729,"Ghana","Ashanti Region (Vaccines), Ashanti Region Facilities, CHPS with midwife",304,"c344a0bc3ba7bbbca06fa8c94df0fb1e","Atwima Kwanwoma","Apemanim CHPS","Ashanti","Obsolete","true",7,"GH2 Mpanya"
"GH",1885,"Family Care HSP","ready_for_operations",1442,"Ghana","Ashanti Region (Vaccines), Ashanti Region Facilities, District Hospital",239,"46403d41cbbd5c211c9ef2a25714ad2c","Afigya Kwabre South","Family Care HSP","Ashanti","Operationalized","true",7,"GH2 Mpanya"
"GH",1208,"Anumso CHPS","ready_for_operations",2897,"Ghana","Ashanti Region (Vaccines), Ashanti Region Facilities, CHPS without midwife",208,"79645f3b1e6073e54713a839fcdee89a","Bosome Freho","Anumso CHPS","Ashanti","Operationalized","true",7,"GH2 Mpanya"
"GH",885,"Abofour HC","ready_for_operations",1356,"Ghana","Ashanti Region (Vaccines), Ashanti Region Facilities, Health Center without Dr",33,"556e3029af02e56c014c746cb798e5f4","Offinso Municipal","Abofour HC","Ashanti","Operationalized","true",7,"GH2 Mpanya"
"GH",2118,"Kensere CHPS","ready_for_operations",3286,"Ghana","Ashanti Region (Vaccines), Ashanti Region Facilities, CHPS with midwife",355,"848c036ff0b0737a65eba6fad78428e9","Bekwai Municipal","Kensere CHPS","Ashanti","Operationalized","true",7,"GH2 Mpanya"
"GH",2553,"Nkenkaasu Government HSP","ready_for_operations",2372,"Ghana","Ashanti Region Facilities",385,"5f9f7454081015088b2a3cf46ab18a88",,"AMPONSAHKROM CHPS","Ashanti","Operationalized","false",7,"GH2 Mpanya"
"GH",1152,"Ampenkrom CHPS","ready_for_operations",883,"Ghana","Bibiani Anhwiaso Bekwai Facilities, CHPS without a midwife, Family Planning Facilities",61,"fb5fa7d6a42a50cf8e552462ee6d3580","Bibiani Anhwiaso Bekwai","Ampenkrom CHPS","Western North","Operationalized","true",9,"GH4 Sefwi Wiawso"
"GH",1170,"Anateem CHPS","ready_for_operations",2126,"Ghana","Bolgatanga, CHPS with a Midwife, Upper East",11,"56d0817a9db87f79344e6e107d2c8aa9","Bolgatanga","Anateem CHPS","Upper East","Operationalized","true",8,"GH3 Vobsi"
"GH",5129,"Mframa Chps","ready_for_operations",2892,"Ghana","Bono, Bono East CHPS with midwife, Sene West",156,"eef0d27d8aa70a34c34083d8628cbee7","Sene West","Mframa CHPS","Bono East","Operationalized","true",12,"GH6 Krachi"
"GH",2093,"Kandema CHPS","ready_for_operations",2936,"Ghana","Builsa North, CHPS without a Midwife, Upper East",323,"dc580ce717d0f116d6c7fc7b11ecbf46","Builsa North","Kandema CHPS","Upper East","Operationalized","true",8,"GH3 Vobsi"
"GH",1792,"Doninga HC","ready_for_operations",3009,"Ghana","Builsa South, Health Center without a Doctor, Upper East",326,"10eee56ee62d5a80b435ef7472b50908","Builsa South","Doninga HC","Upper East","Operationalized","true",8,"GH3 Vobsi"
"GH",4241,"Naadem CHPS","ready_for_operations",2089,"Ghana","Builsa South, CHPS with a Midwife, Upper East",236,"06523c32d34247ab87dfa316b1e15e78","Builsa South","Naadema CHPS","Upper East","Operationalized","true",8,"GH3 Vobsi"
"GH",3827,"St Patrick Wulugu CL","ready_for_operations",701,"Ghana","CHAG Facility, Health Center without a Doctor, North East, St. Patrick CL, West Mamprusi",314,"19df19bce3e46b28c96ea3da84ddb757","West Mamprusi","St. Patrick CL","North East","Operationalized","true",8,"GH3 Vobsi"
"GH",3921,"Akwamufie HC","ready_for_operations",1267,"Ghana","CHPS With a Midwife, Eastern Region, HC Without a Doctor",365,"07634a14e532f981a80ea9f8ae2fa4c0","Asuogyaman","Akwamufie HC","Eastern","Suspended partially","true",11,"GH5 Anum"
"GH",33,"Tortibo CHPS","ready_for_operations",1566,"Ghana","CHPS Without a Midwife, Eastern Region",385,"6ce0b529dcddd1c58ac4f0777ada007c","Asuogyaman","Tortibo CHPS","Eastern","Operationalized","true",11,"GH5 Anum"
"GH",4701,"DASHS CHPS","ready_for_operations",2910,"Ghana","CHPS Without a Midwife, Eastern Region, Kwahu Afram Plains North",146,"6d950eb6f3a5c6e3eb24be65907c9808","Kwahu Afram Plains North","Dashs CHPS","Eastern","Operationalized","true",11,"GH5 Anum"
"GH",5501,"Dzebetato-Tadze CHPS","ready_for_operations",2785,"Ghana","CHPS Without a Midwife, South Tongu, Volta Region",238,"53c54e6e1d92af7386033a82e60c2686","South Tongu","Dzebetato-Tadze CHPS","Volta","Operationalized","true",11,"GH5 Anum"
"GH",4710,"Kayera CHPS","ready_for_operations",2338,"Ghana","CHPS Without a Midwife, Eastern Region, Kwahu Afram Plains North",156,"04451efc05544033d352d1dbe829e8c1","Kwahu Afram Plains North","Kayera CHPS","Eastern","Operationalized","true",11,"GH5 Anum"
"GH",870,"Aboaboso CHPS","ready_for_operations",2191,"Ghana","CHPS with a Midwife",389,"8a9f5016c42d2c7a3d18922e3e3f122e","Amansie South","Aboaboso CHPS","Ashanti","Operationalized","true",9,"GH4 Sefwi Wiawso"
"GH",2250,"Keniago HC","ready_for_operations",2139,"Ghana","CHPS with a Midwife",336,"aa0de180111805b4f64249a080744666","Amansie South","Keniago CHPS","Ashanti","Operationalized","true",9,"GH4 Sefwi Wiawso"
"GH",2305,"Kyeikrom CHPS","ready_for_operations",951,"Ghana","CHPS with a Midwife, Family Planning Facilities",107,"4174381c5d008e059855cfbe461b923c","Wassa Amenfi Central","Kyeikrom CHPS","Western","Operationalized","true",9,"GH4 Sefwi Wiawso"
"GH",3813,"Kurugu CHPS","ready_for_operations",1566,"Ghana","CHPS with a Midwife, Kurugu CHPS, North East, West Mamprusi",29,"7b7194abae64914f4a32e2032e4d4073","West Mamprusi","Kurugu (WMM) CHPS","North East","Operationalized","true",8,"GH3 Vobsi"
"GH",1727,"Dalun HC","ready_for_operations",2858,"","CHPS with a Midwife, Kumbungu, Northern, Savelugu",438,"8b12c7398ae964ad3281275ebabfc608","Savelugu","Zangbalun CHPS","Northern","Created","false",8,"GH3 Vobsi"
"GH",2147,"Kojokrom CHPS","ready_for_operations",555,"Ghana","CHPS with a Midwife, Family Planning Facilities, Sefwi Akontombra Facilities",43,"6f8b1a7ba2818d5aa72c00b08e555c95","Sefwi Akontombra","Kojokrom CHPS","Western North","Suspended partially","true",9,"GH4 Sefwi Wiawso"
"GH",3924,"Tengzuk CHPS","ready_for_operations",1521,"Ghana","CHPS with a Midwife, Talensi, Upper East",158,"a9d687b235fc39c4d14ec560dc20de13","Talensi","Tengzuk CHPS","Upper East","Operationalized","true",8,"GH3 Vobsi"
"GH",1783,"Gomoa Dominase CHPS","ready_for_operations",2708,"","CHPS with midwife, CHPS without midwife, Central",358,"55af61211da2806edbeb6a6408920a09","Gomoa East","Gomoa Dominase CHPS(CR)","Central","Operationalized","true",5,"GH1 Omenako"
"GH",2498,"Nana Khadijah CHPS","ready_for_operations",2328,"","CHPS with midwife, Central",365,"b6348b4684346f62b849b10581e2492a","Agona West","Nana Khadijah CHPS(CR)","Central","Operationalized","true",5,"GH1 Omenako"
"GH",748,"Akyem Asunafo CHPS","ready_for_operations",2039,"","CHPS with midwife, Eastern",103,"8775d7a758ead81c72c46251108d73e1","Atiwa West","Akyem Asunafo CHPS","Eastern","Operationalized","true",5,"GH1 Omenako"
"GH",1740,"Gomoa Dasum CHPS","ready_for_operations",2327,"","CHPS with midwife, Central",356,"7f8cc76d9640605085a1229fa2780b6e","Gomoa East","Gomoa Dasum CHPS(CR)","Central","Operationalized","true",5,"GH1 Omenako"
"GH",1531,"Asikam CHPS","ready_for_operations",818,"","CHPS with midwife, Eastern",321,"28e03f2ade76b8a6fd30baa254d86170","Abuakwa South","Asikam CHPS","Eastern","Operationalized","true",5,"GH1 Omenako"
"GH",615,"Tweapease (Kwaebibirem) CHPS ","ready_for_operations",1820,"Ghana","CHPS with midwife, Eastern",140,"932b1db877eca0f12e807d555f5438a2","Kwaebibirem","Tweapease (Kwaebibirem) CHPS","Eastern","Suspended partially","true",5,"GH1 Omenako"
"GH",3952,"Besease CHPS","ready_for_operations",2975,"","CHPS with midwife, Eastern",665,"7d9ba29aecd90f892beba4dbcbc8df74","Kwahu South","Besease CHPS","Eastern","Operationalized","true",5,"GH1 Omenako"
"GH",5670,"Abrekum CHPS","ready_for_operations",3270,"Ghana","CHPS with midwife, Central",799,"d6fbfaaf66186e6abbf2a61665d0dcf4","Gomoa West","Abrekum CHPS (CR)","Central Region","Operationalized","true",5,"GH1 Omenako"
"GH",1639,"Bramkrom CHPS","ready_for_operations",3037,"Ghana","CHPS with midwife, CHPS without midwife, Eastern",214,"28375c39aba31b9308fbd6fae8a776e9","Birim North","Bramkrom CHPS","Eastern","Suspended partially","true",5,"GH1 Omenako"
"GH",4017,"Gbangu CHPS","ready_for_operations",1435,"Ghana","CHPS without a Midwife, East Mamprusi, Upper East",90,"6d62dbc1cd4fa6cc0883a6e7d4c0b66d","East Mamprusi","Gbangu CHPS","North East","Operationalized","true",8,"GH3 Vobsi"
"GH",4024,"Yakote CHPS","ready_for_operations",2191,"Ghana","CHPS without a Midwife, Nabdam, Upper East",202,"10d29104f9a327151bdd90fe78d5ee80","Nabdam","Yakote CHPS","Upper East","Operationalized","true",8,"GH3 Vobsi"
"GH",2653,"Nungu CHPS","ready_for_operations",1210,"Ghana","CHPS without a Midwife, Talensi, Upper East, VSD Talensi District",135,"4ff9f13d117bf1e07d337fb0b4c858fc","Talensi","Nungu CHPS","Upper East","Operationalized","true",8,"GH3 Vobsi"
"GH",2504,"Nania CHPS","ready_for_operations",3321,"Ghana","CHPS without a Midwife, Kassena Nankana West, Upper East",333,"738ccb40240d70deec9c152a9acc7c32","Kassena Nankana West","Nania CHPS","Upper East","Operationalized","true",8,"GH3 Vobsi"
"GH",4111,"Nyamebekyere (W. A. West) CHPS","ready_for_operations",3377,"Ghana","CHPS without a midwife, Family Planning Facilities",195,"c30c958563ff549a692cadd67255e13f","Wassa Amenfi West","Nyamebekyere CHPS","Western","Operationalized","true",9,"GH4 Sefwi Wiawso"
"GH",1682,"Chichiso No.1 CHPS","ready_for_operations",2779,"Ghana","CHPS without a midwife, Family Planning Facilities",334,"7cade63a9cb4bd4f63be2b2f90c5b85e","Wassa Amenfi Central","Chichiso No.1 CHPS","Western","Operationalized","true",9,"GH4 Sefwi Wiawso"
"GH",4387,"Juantoa CHPS","ready_for_operations",1154,"Ghana","CHPS without a midwife, Family Planning Facilities",182,"b6d0d0d661447183de5fdf6e08b1fcab","Wassa Amenfi West","Juantoa CHPS","Western","Operationalized","true",9,"GH4 Sefwi Wiawso"
"GH",1577,"Bokaso CHPS","ready_for_operations",1793,"Ghana","CHPS without a midwife, Family Planning Facilities, Sefwi Akontombra Facilities",37,"bfc4b5ace044ab66e36bb088d489ed10","Sefwi Akontombra","Bokaso CHPS","Western North","Suspended partially","true",9,"GH4 Sefwi Wiawso"
"GH",3837,"Kwansakrom CHPS","ready_for_operations",2375,"Ghana","CHPS without midwife, Central",575,"5724f37cbe8242cb7e5309b9058a324b","Agona East","Kwansakom CHPS (CR)","Central","Operationalized","true",5,"GH1 Omenako"
